model,delay_len,noise_write_ratio,max_mem,expected_non_source_writes,expected_boundary,acc_mean,acc_std,num_seeds
naive,80,0.25,41,21,41,0.9956107202598028,0.0020822587350374003,7
naive,80,0.25,42,21,41,0.9956107202598028,0.0020822587350374003,7
naive,80,0.25,43,21,41,0.9956107202598028,0.0020822587350374003,7
naive,80,0.25,51,21,41,0.9956107202598028,0.0020822587350374003,7
naive,80,0.25,61,21,41,0.9956107202598028,0.0020822587350374003,7
naive,80,0.5,10,41,61,0.05028571522129431,0.0004804066537366974,7
naive,80,0.5,20,41,61,0.050180358061832984,0.0004132478864916707,7
naive,80,0.5,59,41,61,0.9352794762679509,0.018439632213657294,7
naive,80,0.5,60,41,61,0.9492294759069171,0.0008443723558104792,7
naive,80,0.5,61,41,61,0.9963892907415118,0.0005403583083818961,7
naive,80,0.5,62,41,61,0.9963892907415118,0.0005403583083818961,7
naive,80,0.5,63,41,61,0.9963892907415118,0.0005403583083818961,7
naive,80,0.5,71,41,61,0.9963892907415118,0.0005403583083818961,7
naive,80,0.5,81,41,61,0.9963892907415118,0.0005403583083818961,7
naive,80,0.75,10,61,81,0.05021964375036097,0.00040672136515034,7
naive,80,0.75,20,61,81,0.050169643770105014,0.0001701113646509281,7
naive,80,0.75,79,61,81,0.9352964407375881,0.01731150385822836,7
naive,80,0.75,80,61,81,0.9488464400597981,0.000570188341835057,7
naive,80,0.75,81,61,81,0.9954312566178185,0.0010589255997123736,7
naive,80,0.75,82,61,81,0.9954312566178185,0.0010589255997123736,7
naive,80,0.75,83,61,81,0.9954312566178185,0.0010589255997123736,7
naive,80,0.75,91,61,81,0.9954312566178185,0.0010589255997123736,7
naive,80,0.75,101,61,81,0.9954312566178185,0.0010589255997123736,7
naive,80,1.0,10,81,101,0.05016250090513906,0.0004488266166610221,7
naive,80,1.0,20,81,101,0.0502080365837152,0.00014455002148135073,7
naive,80,1.0,99,81,101,0.8789500119175229,0.025074258902056473,7
naive,80,1.0,100,81,101,0.9252750119992664,0.02409769198710233,7
naive,80,1.0,101,81,101,0.9751875087193079,0.03674069310178858,7
naive,80,1.0,102,81,101,0.9751875087193079,0.03674069310178858,7
naive,80,1.0,103,81,101,0.9751875087193079,0.03674069310178858,7
naive,80,1.0,111,81,101,0.9751875087193079,0.03674069310178858,7
naive,80,1.0,121,81,101,0.9751875087193079,0.03674069310178858,7
