model,write_mode,delay_len,max_mem,eval_acc_mean,eval_acc_std,acc_mean_tail_mean,acc_mean_tail_std,source_survival_rate_mean,source_survival_rate_std,attn_mass_source_mean,attn_mass_source_std,attn_mass_noise_mean,attn_mass_noise_std,attn_mass_sep_mean,attn_mass_sep_std,attn_mass_other_mean,attn_mass_other_std,attn_entropy_mean,attn_entropy_std,mem_source_entries_mean,mem_source_entries_std,mem_noise_entries_mean,mem_noise_entries_std,mem_sep_entries_mean,mem_sep_entries_std,eval_error_rate_mean,eval_error_rate_std,err_sep_rate_mean,err_sep_rate_std,err_source_only_rate_mean,err_source_only_rate_std,err_noise_only_rate_mean,err_noise_only_rate_std,err_both_source_and_noise_rate_mean,err_both_source_and_noise_rate_std,err_other_rate_mean,err_other_rate_std
naive,prefix-all,80,100,0.9413225523063115,0.028496413025927307,0.9252750119992664,0.02409769198710233,0.95,0.0,0.7426643951662949,0.11334287935675708,0.17839453514307022,0.08068606853463885,0.07894109324336433,0.039540284755384666,0.0,0.0,0.15417163586243982,0.037753069680600736,19.0,0.0,80.0,0.0,1.0,0.0,0.058677455357142805,0.028496412161334233,0.0,0.0,0.022594606072479873,0.009440832484878245,0.0,0.0,0.97740539392752,0.009440832484878215,0.0,0.0
naive,prefix-all,80,101,0.9790178585265364,0.03863154687532754,0.9751875087193079,0.03674069310178858,1.0,0.0,0.7634532515491758,0.16075650550871817,0.1857780470160313,0.13444466461926682,0.05076873251281146,0.03953843306805014,0.0,0.0,0.12856225845670058,0.043925259190282,20.0,0.0,80.0,0.0,1.0,0.0,0.02098214285714286,0.03863155139769638,0.0,0.0,0.006738274868042057,0.011922141014109284,0.0,0.0,0.2789760108462436,0.4764524293444152,0.0,0.0
naive,prefix-all,80,102,0.9790178585265364,0.03863154687532754,0.9751875087193079,0.03674069310178858,1.0,0.0,0.7634532515491758,0.16075650550871817,0.1857780470160313,0.13444466461926682,0.05076873251281146,0.03953843306805014,0.0,0.0,0.12856225845670058,0.043925259190282,20.0,0.0,80.0,0.0,1.0,0.0,0.02098214285714286,0.03863155139769638,0.0,0.0,0.006738274868042057,0.011922141014109284,0.0,0.0,0.2789760108462436,0.4764524293444152,0.0,0.0
naive,prefix-all,80,120,0.9790178585265364,0.03863154687532754,0.9751875087193079,0.03674069310178858,1.0,0.0,0.7634532515491758,0.16075650550871817,0.1857780470160313,0.13444466461926682,0.05076873251281146,0.03953843306805014,0.0,0.0,0.12856225845670058,0.043925259190282,20.0,0.0,80.0,0.0,1.0,0.0,0.02098214285714286,0.03863155139769638,0.0,0.0,0.006738274868042057,0.011922141014109284,0.0,0.0,0.2789760108462436,0.4764524293444152,0.0,0.0
naive,source-only,40,10,0.5765067094138691,0.037682782525250626,0.5486642974359649,0.016007281660170614,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09875137744737517,0.0528636700418069,10.0,0.0,0.0,0.0,0.0,0.0,0.42349330357142856,0.03768278111775707,0.0,0.0,0.12855196511112396,0.012370024122842407,0.0,0.0,0.8714480348888759,0.012370024122842419,0.0,0.0
naive,source-only,40,15,0.8037667519279889,0.024140582052480014,0.7742071550914219,0.007362817966866599,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12135352583469021,0.05991678857029069,15.0,0.0,0.0,0.0,0.0,0.0,0.19623325892857135,0.024140581356390665,0.0,0.0,0.13027562244247262,0.01915298849268443,0.0,0.0,0.8697243775575274,0.01915298849268438,0.0,0.0
naive,source-only,40,20,1.0,0.0,0.9960446487835475,0.0007632700888025294,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04814333280748017,0.012415521685388963,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
naive,source-only,40,25,1.0,0.0,0.9960446487835475,0.0007632700888025294,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04814333280748017,0.012415521685388963,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
naive,source-only,40,30,1.0,0.0,0.9960446487835475,0.0007632700888025294,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04814333280748017,0.012415521685388963,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
naive,source-only,80,10,0.5853794754615852,0.02513579715393475,0.5517437626549176,0.01311406158214667,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1396717320063284,0.04697163482381137,10.0,0.0,0.0,0.0,0.0,0.0,0.41462053571428564,0.02513579770681422,0.0,0.0,0.015380410649884256,0.004570143456070675,0.0,0.0,0.9846195893501157,0.004570143456070692,0.0,0.0
